Sexo;EstadoCivil;FechaNacimiento;Instruccion;CodigoBarrio;NumeroCargas;TipoActividad;NumeroCredito;Monto;NumeroCuotas;ValorCuota;FechaEntrega;Tasa;Calificacion;encaje;tipo;vivienda;totalActivo;totalPasivo;Ingresos;Gastos;MoraCredito
Femenino;Casado;10/6/1970;P;18096707;0;Independiente;2891;600;10;60;16/5/2016;23.00;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;20900;34,47;850;442,94;0
Masculino;Soltero;15/9/1992;G;18095004;0;Empleado Privado;3821;600;6;100;7/7/2017;23.50;Microcrédito;0;Ordinario Cuota Variable;VIVE CON FAMILIARES;28900;3500;1450;820;0
Masculino;Soltero;3/4/1986;U;18010101;0;Empleado Privado;6223;8000;38;313,77;12/2/2020;21.50;Microcrédito;0;Ordinario Cuota Fija;ARRENDADA;18000;1345,05;2000;1019,98;0
Masculino;Soltero;3/6/1995;S;18016508;0;Independiente;6932;3000;24;148,55;4/11/2020;18.00;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;53500;8000;1500;295;0
Masculino;Casado;4/2/1990;P;18096504;1;Independiente;3089;1500;18;83,33;1/8/2016;21.00;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;38000;48940,43;3450;1077,78;1
Masculino;Soltero;11/4/1992;P;18015801;0;--Seleccione Tipo Empleo--;1961;1000;12;83,33;7/1/2015;22.50;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;0;0;0;0;1
Masculino;Casado;29/1/1985;P;18096310;2;Empleado Privado;4863;1500;18;83,33;7/10/2018;21.50;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;33000;695,54;600;334,56;1
Masculino;Casado;28/7/1979;P;18015801;0;Independiente;1812;300;6;50;26/10/2014;22.50;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;54700;1;1032;310,92;0
Femenino;Divorciado;27/1/1961;P;18096804;6;Independiente;2348;2000;24;83,33;19/7/2015;20.50;Microcrédito;95;Ordinario Cuota Fija;VIVE CON FAMILIARES;40000;3000;280;70;0
Masculino;Soltero;26/10/1990;S;18095008;1;Independiente;4963;5000;32;225,39;19/11/2018;21.50;Microcrédito;120;Ordinario Cuota Fija;VIVE CON FAMILIARES;16000;15037,29;2000;918,17;0
Masculino;Casado;18/12/1986;U;18095004;0;Independiente;2657;3000;24;125;22/1/2016;20.50;Microcrédito;142,5;Ordinario Cuota Fija;ARRENDADA;0;0;1600;1040;1
Masculino;Soltero;1/1/1981;S;18096402;0;--Seleccione Tipo Empleo--;77;1582,33;16;98,9;26/3/2011;22.08;Microcrédito;0;Ordinario Cuota Variable;VIVE CON FAMILIARES;0;0;0;0;0
Femenino;Casado;23/12/1990;P;18096208;0;Independiente;1912;3000;24;125;14/12/2014;21.50;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;12500;0;100;90;1
Femenino;Casado;4/10/1965;P;18095001;0;Independiente;2988;9000;42;214,29;28/6/2016;21.00;Microcrédito;0;Ordinario Cuota Fija;PROPIA HIPOTECADA;2;1;2;1;1
Femenino;Divorciado;11/7/1982;S;18015510;0;--Seleccione Tipo Empleo--;4309;2000;24;83,33;20/2/2018;21.50;Microcrédito;0;Ordinario Cuota Variable;VIVE CON FAMILIARES;0;0;0;0;1
Femenino;Casado;26/2/1975;P;18015504;0;Independiente;8452;600;12;57,14;1/4/2022;19.97;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;156100;6403,5;2608;1635,21;0
Femenino;Casado;3/9/1977;P;18096801;3;Independiente;1315;3600;28;128,57;17/2/2014;21.50;Microcrédito;0;Ordinario Cuota Variable;VIVE CON FAMILIARES;43000;40000;500;182;1
Masculino;Casado;28/3/1967;P;18096205;0;Independiente;2264;2000;1;2000;15/6/2015;20.50;Microcrédito;0;Ordinario Cuota Variable;PROPIA NO HIPOTECADA;78000;1;2000;1330;0
Masculino;Casado;28/7/1979;P;18096801;0;--Seleccione Tipo Empleo--;5304;2000;20;133,73;6/4/2019;21.50;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;0;0;0;0;0
Masculino;Casado;19/12/1976;T;18096604;1;Independiente;6107;5000;32;224,72;27/12/2019;21.50;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;42500;6000;500;433;0
Masculino;Soltero;11/7/1994;P;18035019;0;--Seleccione Tipo Empleo--;5990;1600;14;149,89;19/11/2019;21.50;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;0;0;0;0;0
Masculino;Casado;8/8/1991;P;18096802;2;Independiente;3786;4000;24;166,67;16/6/2017;21.00;Microcrédito;120;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;56500;40420,57;4000;2367,75;1
Masculino;Soltero;20/10/1987;S;18096706;0;--Seleccione Tipo Empleo--;3063;1500;8;187,5;22/7/2016;21.00;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;0;0;0;0;1
Femenino;Casado;5/9/1954;P;18095003;0;Independiente;4412;3500;26;152,66;8/4/2018;21.50;Microcrédito;81;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;1754500;2;1200;190;0
Femenino;Soltero;25/12/1960;P;18096402;0;--Seleccione Tipo Empleo--;2432;500;10;50;3/9/2015;21.00;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;0;0;0;0;0
Femenino;Casado;4/5/1973;P;18097002;0;Independiente;7369;600;12;55,93;21/3/2021;20.50;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;64000;0;4135;1063,59;0
Femenino;Soltero;5/8/1968;S;18096310;0;Independiente;5827;600;12;56,17;19/9/2019;21.50;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;0;0;125;270;1
Femenino;Casado;6/1/1965;N;18095006;0;Independiente;1966;5000;30;166,67;9/1/2015;10.60;Vivienda;0;Ordinario Cuota Variable;PROPIA HIPOTECADA;110000;25000;1360;1355;0
Masculino;Unión Libre;13/2/1991;P;18010304;0;Independiente;1533;6000;34;176,47;11/6/2014;21.50;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;22500;3150;3000;960;0
Masculino;Casado;27/9/1987;S;18016503;2;--Seleccione Tipo Empleo--;6505;10000;30;357,83;3/7/2020;21.50;Microcrédito;0;Ordinario Cuota Variable;VIVE CON FAMILIARES;0;0;0;0;1
Femenino;Casado;20/8/1957;P;18010312;0;Independiente;343;2000;20;100;20/10/2011;22.44;Microcrédito;225,8;Ordinario Cuota Variable;PROPIA NO HIPOTECADA;157500;35002;1000;860;1
Femenino;Viudo;14/3/1959;P;18096801;0;Independiente;5911;1000;12;93,64;25/10/2019;21.50;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;15000;0,01;300;290;0
Femenino;Casado;11/2/1963;P;18096108;0;Independiente;7961;1700;18;110,34;21/10/2021;19.75;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;44500;2844,55;1444;857,91;0
Femenino;Casado;19/9/1982;S;18096310;1;Empleado Privado;8482;3000;18;187,59;7/4/2022;15.56;Consumo;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;0;0;600;200;0
Femenino;Casado;10/10/1957;P;18015808;0;Independiente;3679;5000;24;208,33;2/5/2017;21.00;Microcrédito;50;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;17800;0,01;746;333,2;0
Masculino;Casado;30/5/1981;P;18035004;1;Independiente;6908;3000;24;160,07;26/10/2020;21.50;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;24000;7404,7;1057,47;502,99;1
Masculino;Viudo;1/5/1945;G;18095004;0;Independiente;5525;5000;30;166,67;14/6/2019;21.50;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;0;0;3520;722;0
Femenino;Divorciado;12/9/1970;P;18096402;3;--Seleccione Tipo Empleo--;1290;1000;12;83,33;6/2/2014;22.50;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;0;0;0;0;1
Masculino;Casado;1/6/1971;P;18096306;0;--Seleccione Tipo Empleo--;3000;3000;24;125;29/6/2016;21.00;Microcrédito;0;Ordinario Cuota Variable;VIVE CON FAMILIARES;0;0;0;0;0
Masculino;Soltero;29/3/1990;S;18096502;0;Independiente;6165;2000;26;105,21;20/1/2020;21.50;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;8500;1374,9;1948;873,63;0
Masculino;Casado;12/3/1972;P;18096801;1;Empleado Privado;6942;3000;24;155,71;9/11/2020;21.50;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;278000;11010,57;1800;3726,4;0
Femenino;Divorciado;21/3/1962;N;18095004;1;--Seleccione Tipo Empleo--;4868;500;8;62,5;10/10/2018;21.50;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;0;0;0;0;0
Femenino;Casado;10/7/1981;P;18015303;0;Independiente;6369;16400;40;563,65;26/5/2020;19.00;Microcrédito;0;Ordinario Cuota Variable;PROPIA NO HIPOTECADA;134800;23092,66;8100;7064,73;0
Femenino;Soltero;28/8/1990;P;18096403;1;--Seleccione Tipo Empleo--;466;373;12;31,08;10/4/2012;22.44;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;0;0;0;0;0
Femenino;Soltero;2/12/1964;P;18096310;0;Independiente;6954;3500;24;181,66;10/11/2020;21.50;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;35000;22765,03;3660;3202,78;0
Femenino;Soltero;4/7/1990;S;18096206;0;Independiente;8573;2500;30;104,35;5/5/2022;19.97;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;7300;3543,62;720;476,51;0
Femenino;Soltero;9/9/1989;P;18096606;2;Independiente;4195;4000;24;166,67;28/12/2017;21.50;Microcrédito;0;Ordinario Cuota Variable;VIVE CON FAMILIARES;12350;26646,4;1674;617,83;0
Masculino;Soltero;1/1/1981;P;18096402;0;Independiente;4093;1200;14;85,71;15/11/2017;21.50;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;35800;0;880;415,31;0
Femenino;Soltero;14/8/1958;P;18096310;0;Independiente;3154;500;10;50;8/9/2016;24.50;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;18750;100;624;135;0
Femenino;Casado;8/6/1978;S;18015504;1;Independiente;10124;2000;6;352,91;4/8/2023;19.50;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;63000;4000;3592;3123,59;0
Femenino;Soltero;24/10/1996;S;18096304;0;--Seleccione Tipo Empleo--;5465;2500;24;104,17;26/5/2019;21.50;Microcrédito;0;Ordinario Cuota Fija;VIVE CON FAMILIARES;0;0;0;0;0
Femenino;Casado;9/5/1981;S;18095004;2;Independiente;6104;10000;24;519,63;27/12/2019;21.50;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;188000;44319,73;338902;330736,93;0
Femenino;Casado;7/1/1975;P;18016501;2;Independiente;1699;600;12;50;7/9/2014;22.50;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;32500;12000;1680;1470;1
Femenino;Divorciado;7/9/1971;P;18096208;0;Empleado Privado;1128;3000;24;125;11/10/2013;21.50;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;3500;1;676;445,74;0
Masculino;Casado;3/7/1972;P;18096801;0;Independiente;4279;6500;36;180,56;8/2/2018;21.00;Microcrédito;0;Ordinario Cuota Fija;PRESTADA;24850;10000;2427;616,07;1
Masculino;Casado;9/4/1992;S;18096102;2;Empleado Privado;4181;9000;36;250;21/12/2017;21.00;Microcrédito;270;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;17800;16057,26;1316,69;1010,43;1
Femenino;Casado;30/1/1984;S;18095006;0;Independiente;6769;1000;6;177,55;22/9/2020;21.50;Microcrédito;0;Ordinario Cuota Fija;PROPIA NO HIPOTECADA;239300;151487,94;2600;7959,81;0
Femenino;Divorciado;13/4/1958;P;18095005;0;Independiente;273;200;4;50;8/7/2011;22.44;Consumo;0;Ordinario Cuota Variable;PROPIA NO HIPOTECADA;30300;4785,25;720;565,97;0
